graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_mitgliedschaften_anzahl
"""""",lobbyregister_membership,lobbyregister,2022-02-24,acatech - Deutsche Akademie der Technikwissenschaften,acatech - Deutsche Akademie der Technikwissenschaften,norm_lobbyregister_eintrag_2022-09-19_#0000240,
"""""",lobbyregister_membership,lobbyregister,2022-07-18,acatech Deutsche Akademie der Technikwissenschaften e.V.,Deutsche Akademie der Technikwissenschaften e.V. (acatech),norm_lobbyregister_eintrag_2022-09-19_#0006605,
"""""",lobbyregister_membership,lobbyregister,2022-02-27,acatech - Deutsche Akademie der Technikwissenschaften e.V.,Deutsche Akademie der Technikwissenschaften e.V. (acatech),norm_lobbyregister_eintrag_2022-09-19_#0006605,
"""""",lobbyregister_membership,lobbyregister,2022-02-28,Acatech - Deutsche Akademie für Technikwissenschaften,Acatech - Deutsche Akademie für Technikwissenschaften,norm_lobbyregister_eintrag_2022-09-19_#0000241,
"""""",lobbyregister_membership,lobbyregister,2022-06-20,acatech e.V.,acatech e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000242,
"""""",lobbyregister_membership,lobbyregister,2022-07-20,ACCF Air Cargo Community Frankfurt e.V.,ACCF Air Cargo Community Frankfurt e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000247,
"""""",lobbyregister_membership,lobbyregister,2022-05-30,ACCIS,ACCIS,norm_lobbyregister_eintrag_2022-09-19_#0000248,
"""""",lobbyregister_membership,lobbyregister,2022-07-12,Accountability & Participation for 2030 Agenda,Accountability & Participation for 2030 Agenda,norm_lobbyregister_eintrag_2022-09-19_#0000250,
"""""",lobbyregister_membership,lobbyregister,2022-02-25,Accounting Standards Committee of Germany (DRSC),Accounting Standards Committee of Germany (DRSC),norm_lobbyregister_eintrag_2022-09-19_#0000251,
"""""",lobbyregister_membership,lobbyregister,2022-03-07,ACE,ACE,norm_lobbyregister_eintrag_2022-09-19_#0000254,
"""""",lobbyregister_membership,lobbyregister,2022-07-07,ACEM AiSBL,ACEM AiSBL,norm_lobbyregister_eintrag_2022-09-19_#0000256,
"""""",lobbyregister_membership,lobbyregister,2022-02-22,ACEnet - Network of Arts and Cultural Education in Europe,ACEnet - Network of Arts and Cultural Education in Europe,norm_lobbyregister_eintrag_2022-09-19_#0000257,
"""""",lobbyregister_membership,lobbyregister,2022-05-18,ACERA - Asociación Chilena de Energias Renovables y Almacenamiento,ACERA - Asociación Chilena de Energias Renovables y Almacenamiento,norm_lobbyregister_eintrag_2022-09-19_#0000258,
"""""",lobbyregister_membership,lobbyregister,2022-05-18,ACESOL - Asociación Chilena de Energia Solar,ACESOL - Asociación Chilena de Energia Solar,norm_lobbyregister_eintrag_2022-09-19_#0000259,
"""""",lobbyregister_membership,lobbyregister,2022-07-06,ACE-Wirtschaftsdienst GmbH,ACE-Wirtschaftsdienst GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000260,
"""""",lobbyregister_membership,lobbyregister,2022-07-25,ACHAM - American Chamber of Commerce in Germany,ACHAM - American Chamber of Commerce in Germany,norm_lobbyregister_eintrag_2022-09-19_#0000261,
"""""",lobbyregister_membership,lobbyregister,2022-02-24,ACHSE,ACHSE,norm_lobbyregister_eintrag_2022-09-19_#0000263,
"""""",lobbyregister_membership,lobbyregister,2022-07-06,ACHSE. Allianz Chronischer Seltener Erkrankungen,ACHSE. Allianz Chronischer Seltener Erkrankungen,norm_lobbyregister_eintrag_2022-09-19_#0000264,
"""""",lobbyregister_membership,lobbyregister,2022-03-03,ACI (Airports Council International),ACI (Airports Council International),norm_lobbyregister_eintrag_2022-09-19_#0000265,
"""""",lobbyregister_membership,lobbyregister,2022-03-04,ACI Airports Council International Europe,ACI Airports Council International Europe,norm_lobbyregister_eintrag_2022-09-19_#0000266,
